DISTRIBUTION,TOTAL_PRICE,INSTANCES
0,18356.002352018,23586507
1-500,137935.931198071,222521875
10000+,177898.343548466,266161857
1001-2000,100070.901219428,167504414
2001-5000,168342.252565308,264474644
5001-10000,54720.011342793,72147678
501-1000,18574.690343371,30748686
