HOST,ID,NAME
popcrush.com,IAB1,Arts & Entertainment
popmatters.com,IAB1,Arts & Entertainment
popphoto.com,IAB19,Technology & Computing
popsci.com,IAB19,Technology & Computing
popularmechanics.com,IAB2,Automotive
prevention.com,IAB7,Health & Fitness
profootballtalk.nbcsports.com,IAB12,News
rachaelrayshow.com,IAB8,Food & Drink
racked.com,IAB18,Style & Fashion
radaronline.com,IAB1,Arts & Entertainment
ranker.com,IAB1,Arts & Entertainment
rap-up.com,IAB1,Arts & Entertainment
ratemyprofessors.com,IAB9,Hobbies & Interests
rd.com,IAB8,Food & Drink
realitytea.com,IAB1,Arts & Entertainment
realsimple.com,IAB1,Arts & Entertainment
recipe.com,IAB8,Food & Drink
recipes-plus.com,IAB8,Food & Drink
redbookmag.com,IAB18,Style & Fashion
refinery29.com,IAB18,Style & Fashion
reuters.com,IAB12,News
reveal.co.uk,IAB1,Arts & Entertainment
rides-mag.com,IAB2,Automotive
roadandtrack.com,IAB2,Automotive
rodalesorganiclife.com,IAB8,Food & Drink
rodalewellness.com,IAB7,Health & Fitness
rollingstone.com,IAB1,Arts & Entertainment
rotoworld.com,IAB12,News
rottentomatoes.com,IAB1,Arts & Entertainment
runnersworld.co.uk,IAB7,Health & Fitness
runnersworld.com,IAB7,Health & Fitness
sailingworld.com,IAB20,Travel
saltwatersportsman.com,IAB20,Travel
saveur.com,IAB8,Food & Drink
sbnation.com,IAB17,Sports
scarymommy.com,IAB6,Family & Parenting
screencrush.com,IAB1,Arts & Entertainment
screenrant.com,IAB1,Arts & Entertainment
scubadiving.com,IAB20,Travel
seattlepi.com,IAB12,News
seriouseats.com,IAB8,Food & Drink
serpadres.com,IAB6,Family & Parenting
seventeen.com,IAB1,Arts & Entertainment
sfgate.com,IAB12,News
shape.com,IAB7,Health & Fitness
sheknows.com,IAB6,Family & Parenting
si.com,IAB17,Sports
simplyrecipes.com,IAB8,Food & Drink
skinnymom.com,IAB8,Food & Drink
slamonline.com,IAB17,Sports
slate.com,IAB1,Arts & Entertainment
smithsonianmag.com,IAB1,Arts & Entertainment
sneakermob.com,IAB17,Sports
socialitelife.com,IAB1,Arts & Entertainment
sofeminine.co.uk,IAB9,Hobbies & Interests
sole-collector.com,IAB1,Arts & Entertainment
solecollector.com,IAB1,Arts & Entertainment
southernliving.com,IAB1,Arts & Entertainment
spike.com,IAB1,Arts & Entertainment
spin.com,IAB1,Arts & Entertainment
sport.es,IAB12,News
sportfishingmag.com,IAB20,Travel
sportrider.com,IAB2,Automotive
sports.vice.com,IAB17,Sports
sports.yahoo.com,IAB17,Sports
stamfordadvocate.com,IAB12,News
standard.co.uk,IAB1,Arts & Entertainment
starmagazine.com,IAB1,Arts & Entertainment
stereogum.com,IAB1,Arts & Entertainment
streetchopperweb.com,IAB2,Automotive
stv.tv,IAB1,Arts & Entertainment
styleblazer.com,IAB18,Style & Fashion
stylecaster.com,IAB18,Style & Fashion
sunset.com,IAB8,Food & Drink
superstreetbike.com,IAB2,Automotive
swifty.com,IAB20,Travel
tasteofcountry.com,IAB1,Arts & Entertainment
tasteofhome.com,IAB10,Home & Garden
techinsider.io,IAB19,Technology & Computing
techrepublic.com,IAB19,Technology & Computing
techspot.com,IAB19,Technology & Computing
teenvogue.com,IAB18,Style & Fashion
telegraph.co.uk,IAB12,News
telemundo.com,IAB1,Arts & Entertainment
test.com,IAB1,Arts & Entertainment
test.com,IAB2,Automotive
test.com,IAB18,Style & Fashion
thebump.com,IAB6,Family & Parenting
thecreatorsproject.vice.com,IAB1,Arts & Entertainment
thedailybeast.com,IAB1,Arts & Entertainment
thedailymeal.com,IAB8,Food & Drink
thedebrief.co.uk,IAB1,Arts & Entertainment
thedoctorstv.com,IAB1,Arts & Entertainment
theepochtimes.com,IAB12,News
thefrisky.com,IAB1,Arts & Entertainment
thefumble.com,IAB17,Sports
thehill.com,IAB12,News
theinsider.etonline.com,IAB1,Arts & Entertainment
thekitchn.com,IAB8,Food & Drink
thelatinkitchen.com,IAB8,Food & Drink
thenest.com,IAB6,Family & Parenting
theonion.com,IAB1,Arts & Entertainment
